geo_id,race_eth,pop,case_count,hosp_count,death_count,total_hosp_incidental,pcr_test_count,pcr_test_pos_count,pcr_test_pos_percent
98105,Black,1264.1306,429,,,,5722,420,7.340090877
98105,Hispanic,3033.4485,886,,0,,10030,862,8.594217348
98105,Multi/Other,2986.4609,671,,0,,59012,658,1.115027452
98105,NHPI,192.2093,71,0,0,0,1271,66,5.192761605
98105,Unknown,,924,,0,0,87322,910,1.04211997
98105,White,30942.5211,6316,45,,35,109666,6156,5.613407984
98106,AIAN,229.0659,65,,0,,558,60,10.75268817
98106,Asian,6226.8152,1261,44,13,12,10965,1210,11.03511172
98106,Black,3227.3129,1046,34,,21,7176,990,13.79598662
98106,Hispanic,4391.7201,1328,39,,,7159,1233,17.22307585
98106,Multi/Other,1448.8286,470,,,,25743,458,1.779124422
98106,NHPI,368.1936,135,,,,918,129,14.05228758
98106,Unknown,,242,,0,0,9523,230,2.415205292
98106,White,10115.8945,2739,79,21,34,35915,2626,7.3117082
98107,AIAN,201.5206,36,,0,0,384,35,9.114583333
98107,Asian,2167.6123,666,,,,10756,643,5.978058758
98107,Black,828.9807,157,,,,1825,149,8.164383562
98107,Hispanic,1841.1771,424,,0,0,4760,402,8.445378151
98107,Multi/Other,1470.5004,317,,0,,32096,311,0.968968096
98107,NHPI,88.9587,36,0,0,0,317,34,10.72555205
98107,Unknown,,183,0,0,0,15540,177,1.138996139
98107,White,23250.5926,4099,72,12,32,67512,3885,5.754532528
98108,AIAN,147.926,67,,0,0,525,59,11.23809524
98108,Asian,11374.8107,2111,69,14,18,20066,2035,10.14153294
98108,Black,3771.2229,1151,46,,21,8246,1110,13.46107203
98108,Hispanic,3728.0062,1074,40,,,5595,968,17.30116175
98108,Multi/Other,1084.4344,409,12,0,,31845,401,1.259224368
98108,NHPI,206.878,122,9,,0,932,120,12.87553648
98108,Unknown,,209,0,0,0,18921,195,1.03060092
98108,White,5081.6174,1666,32,,17,25753,1590,6.174037976
98109,AIAN,229.245,44,,0,,541,39,7.208872458
98109,Asian,4397.9168,1918,8,,,25202,1849,7.336719308
98109,Black,2136.8054,389,15,,11,5557,349,6.280367105
98109,Hispanic,2272.816,657,,0,,6580,619,9.407294833
98109,Multi/Other,1531.415,410,,,,40117,402,1.002068948
98109,NHPI,161.6358,44,,0,0,570,42,7.368421053
98109,Unknown,,362,,0,0,23105,338,1.462886821
98109,White,22714.3773,3705,99,31,46,59521,3483,5.851716201
98112,AIAN,48.4134,23,0,0,0,251,22,8.764940239
98112,Asian,1717.1941,558,,0,,8035,542,6.745488488
98112,Black,1595.735,269,12,,,3601,261,7.24798667
98112,Hispanic,1143.5703,324,,0,,3638,307,8.438702584
98112,Multi/Other,1038.5817,320,0,0,,41345,312,0.75462571
98112,NHPI,38.8793,22,,,0,234,17,7.264957265
98112,Unknown,,169,,0,0,14073,154,1.094294038
98112,White,17389.7736,3516,58,,29,61735,3392,5.494452094
98115,AIAN,210.7344,63,,,,825,59,7.151515152
98115,Asian,6941.7933,1684,15,,,24869,1628,6.546302626
98115,Black,1336.1404,392,9,0,,4364,372,8.524289643
98115,Hispanic,2914.4573,780,,,,9124,758,8.307759754
98115,Multi/Other,2888.5538,773,,0,,62159,752,1.209800672
98115,NHPI,135.7527,66,,0,0,702,64,9.116809117
98115,Unknown,,389,,0,0,30289,372,1.228168642
98115,White,38605.6564,7378,99,30,60,127745,7061,5.527417903
98116,AIAN,163.5345,43,,0,,412,38,9.223300971
98116,Asian,1813.4846,472,,,,5504,436,7.921511628
98116,Black,627.7954,277,,,,2565,253,9.863547758
